Dish,Attributes
番茄鸡蛋面,Hunger:28;Health:6;Mood:4
水果捞,Hunger:12;Health:8;Mood:6
沙县鸡腿饭,Hunger:30;Health:7;Mood:5
蛋炒饭,Hunger:34;Health:6;Mood:4
蔬菜沙拉,Hunger:20;Health:15;Mood:3
番茄牛脑,Hunger:30;Health:9;Mood:5
炸鸡,Hunger:32;Health:-10;Mood:12
披萨,Hunger:26;Health:-8;Mood:10
汉堡,Hunger:28;Health:-10;Mood:9
烤串,Hunger:38;Health:-18;Mood:14
寿司,Hunger:25;Health:-12;Mood:13
豆浆,Hunger:10;Health:6;Mood:4
咖啡,Hunger:4;Health:-2;Mood:6
奶茶,Hunger:10;Health:-12;Mood:15
可乐,Hunger:6;Health:-10;Mood:10
酸奶,Hunger:15;Health:10;Mood:6
白开水,Hunger:6;Health:0;Mood:5
